code
BookingStartDate
BookingStartDateTime
ScreeningDateTime
BookingEndDate
BookingEndDateTime
PreviousKeyEndDate
PreviousKeyEndDateTime
PreviousKeyStartDate
PreviousKeyStartDateTime
Friday2WeeksLaterDate
NextKeyStartDate
NextKeyStartDateTime
NextKeyEndDate
NextKeyEndDateTime
